Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
91,0,Sup. const. sobre rasant,m2,189
91,0,Sup. const. sota rasant,m2,190
91,0,Sup. const. total,m2,191
91,289,Sup. del terreny,m2,192
92,0,Sup. const. sobre rasant,m2,193
92,0,Sup. const. sota rasant,m2,194
92,0,Sup. const. total,m2,195
92,258,Sup. del terreny,m2,196
93,0,Sup. const. sobre rasant,m2,197
93,0,Sup. const. sota rasant,m2,198
93,0,Sup. const. total,m2,199
93,0,Sup. del terreny,m2,200
94,184.87,Sup. const. sobre rasant,m2,201
94,0,Sup. const. sota rasant,m2,202
94,184.87,Sup. const. total,m2,203
94,400,Sup. del terreny,m2,204
95,3480.92,Sup. const. sobre rasant,m2,205
95,0,Sup. const. sota rasant,m2,206
95,3480.92,Sup. const. total,m2,207
95,10000,Sup. del terreny,m2,208
98,8217,Sup. const. sobre rasant,m2,209
98,0,Sup. const. sota rasant,m2,210
98,8217,Sup. const. total,m2,211
98,39894,Sup. del terreny,m2,212
99,83.64,Sup. const. sobre rasant,m2,213
99,0,Sup. const. sota rasant,m2,214
99,83.64,Sup. const. total,m2,215
99,11340,Sup. del terreny,m2,216
100,7170,Sup. const. sobre rasant,m2,217
100,0,Sup. const. sota rasant,m2,218
100,7170,Sup. const. total,m2,219
100,10755,Sup. del terreny,m2,220
101,0,Sup. const. sobre rasant,m2,221
101,0,Sup. const. sota rasant,m2,222
101,0,Sup. const. total,m2,223
101,360,Sup. del terreny,m2,224
102,0,Sup. const. sobre rasant,m2,225
102,0,Sup. const. sota rasant,m2,226
102,0,Sup. const. total,m2,227
102,0,Sup. del terreny,m2,228
103,380.35,Sup. const. sobre rasant,m2,229
103,0,Sup. const. sota rasant,m2,230
103,380.35,Sup. const. total,m2,231
103,210,Sup. del terreny,m2,232
104,8149,Sup. const. sobre rasant,m2,233
104,0,Sup. const. sota rasant,m2,234
104,8149,Sup. const. total,m2,235
104,7063,Sup. del terreny,m2,236
105,1636,Sup. const. sobre rasant,m2,237
105,0,Sup. const. sota rasant,m2,238
105,1636,Sup. const. total,m2,239
105,1190,Sup. del terreny,m2,240
108,4029,Sup. const. sobre rasant,m2,241
108,0,Sup. const. sota rasant,m2,242
108,4029,Sup. const. total,m2,243
108,0,Sup. del terreny,m2,244
109,10279,Sup. const. sobre rasant,m2,245
109,0,Sup. const. sota rasant,m2,246
109,10279,Sup. const. total,m2,247
109,8723,Sup. del terreny,m2,248
110,547.2,Sup. const. sobre rasant,m2,249
110,0,Sup. const. sota rasant,m2,250
110,547.2,Sup. const. total,m2,251
110,1019,Sup. del terreny,m2,252
113,520.25,Sup. const. sobre rasant,m2,253
113,0,Sup. const. sota rasant,m2,254
113,520.25,Sup. const. total,m2,255
113,1309.25,Sup. del terreny,m2,256
114,730,Sup. const. sobre rasant,m2,257
114,0,Sup. const. sota rasant,m2,258
114,730,Sup. const. total,m2,259
